ID SEX TYPE WGT HUM RAD ULN FEMUR TIB TIN CAR D3P STL STB COR PEL MAX MIN SCA
L762 MALE   DOMESTIC   . 145 131 143 136 210 140 790 290 137  82 101 162 182 133 125
L763 MALE   DOMESTIC 167 143 129 138 127 204 144 790   .   .   .  93   . 167 126 116
L765 MALE   DOMESTIC 188 148 137 146 133 215 144 820 300 139  91  99 165 171 129 125
L770 MALE   DOMESTIC 190 144 129 138 130 201 134 790 300   .   .  97   . 177 127 118
L774 MALE   DOMESTIC 213 143 128 141 130 203 137 800 300 138  81  98 166 183 143 123
L776 MALE   DOMESTIC   .   .   .   . 133 218 138   .   .   .   .   . 169 186 138 .
L776 MALE   DOMESTIC   .   .   .   . 138 225 141   .   .   .   .   . 168 194 146 .
L779 MALE   DOMESTIC 220 149 136 147 135 208 139 820 300 141  92  98 162 182 143 126
L784 MALE   DOMESTIC 220 150 135 148 134 204 143 820 300 142  82 103 161 184 140 129
NED1 MALE   DOMESTIC   .   .   .   .   .   .   .   .   . 145  84   .   .   .   . .
NED2 MALE   DOMESTIC   .   .   .   .   .   .   .   .   . 145  84   .   .   .   . .
NEG1 MALE   DOMESTIC   .   .   .   .   .   .   .   .   . 207  84   .   .   .   . .
NEG2 MALE   DOMESTIC   .   .   .   .   .   .   .   .   .   .  89   .   .   .   . .
NEG3 MALE   DOMESTIC   .   .   .   .   .   .   .   .   .   .  86   .   .   .   . .
NEG4 MALE   DOMESTIC   .   .   .   .   .   .   .   .   .   .  86   .   .   .   . .
NEG5 MALE   DOMESTIC   .   .   .   .   .   .   .   .   .   .  93   .   .   .   . .
NEG6 MALE   DOMESTIC   .   .   .   .   .   .   .   .   .   .  88   .   .   .   . .
L638 FEMALE DOMESTIC 120 122 108 117 109 176 115 670 250 111  70  82 131 146 114 102
L671 FEMALE DOMESTIC 104 122 106 117 110 177 112 660 250 116  65  81 131 141 111 103
L672 FEMALE DOMESTIC 120 122 109 120 113 178 114 670  26 125   .  86 136 147 102 107
L673 FEMALE DOMESTIC 135 121 105 118 112 176 113 650 240 129  68  83 134 140 106 109
L675 FEMALE DOMESTIC   . 118 101 114 110 168 110 630 250 121   .  80 132 157 119 107
L676 FEMALE DOMESTIC   . 119 102 115 111 167 106 640 250 137  67  84   . 135 102 108
L677 FEMALE DOMESTIC 123 118 104 115 107 167 111 640 240 120  62  80 129 148 105 103
L680 FEMALE DOMESTIC   . 119 106 117 109 170 105 660 260 121  68  83 129 147 107 103
L683 FEMALE DOMESTIC 114 121 103 116 110 172 106 650 250 130  64  81 131 144 104 104
L685 FEMALE DOMESTIC   . 119 107 118 109 178 114 650 250 119  68  80 125 147 110  99
L691 FEMALE DOMESTIC 116 120 106 119 113 176 112 660 260 131  62  84 130 138 100 106
L692 FEMALE DOMESTIC   . 122 106 117 111 171 108 670 260 120   .  85   . 136 101 103
L694 FEMALE DOMESTIC   . 121 106 118 111 176 111 660 253 128  69  85 133 141 104 107
L696 FEMALE DOMESTIC 140 126   .   . 112 180 117 680 250 132  68  85 134 146 111 112
L697 FEMALE DOMESTIC 117 121 107 117 109 177 114 670 260 120  68  82 131 145 111 104
L740 FEMALE DOMESTIC 118 119 104 116 109 174 111 650 250 123  66  84 130 146  97 103
L743 FEMALE DOMESTIC 109 118 104 115 106 167 105 660 260 120  66  80 129 138 102  98
L751 FEMALE DOMESTIC 121 126 112 122 114 180 119 690 260 120  68  83 138 147 115 106
L754 FEMALE DOMESTIC   . 109 101 107 102 153 106   . 240   .   .  71   . 137 101  92
L756 FEMALE DOMESTIC 125 123 108 120 114 177 118 680 250 126  66  82   . 151 108 .
L757 FEMALE DOMESTIC 113 122 107 120 112 179 114 670 260 126  65  80 134 134 104 103
L759 FEMALE DOMESTIC 139 119 107 118 111 178 116 670 260 121  71  82 136 142 105 107
L760 FEMALE DOMESTIC   . 126 109 122 117 183 119 690 260 132  68  86 137 142 109 111
L761 FEMALE DOMESTIC 111 124 109 119 113 172 115 680 260 108  63  84 133 135 104 106
L764 FEMALE DOMESTIC 133 120 105 117 109 173 111 670 260 130  64  82 136 152 110 108
L766 FEMALE DOMESTIC   . 121 108 119 109 178 115 660 250 115  64  80 134 146 109 105
L767 FEMALE DOMESTIC   . 129 114 126 118 188 120 700 270 123  70  85   . 161 116 113
L768 FEMALE DOMESTIC 108 124 108 121 112 181 114 660 260 123  65  81 132 130 101 103
L769 FEMALE DOMESTIC 116 122 107 119 113 174 112 660 250 118  69  81 135 146 105 106
L771 FEMALE DOMESTIC 111 114 101 113 104 158 106 630 240 113  66  77 123 139 102 101
L772 FEMALE DOMESTIC 131 128 110 125 120 183 118 680 270 147  69  88 140 158 111 109
L773 FEMALE DOMESTIC 108 120 107 120 114 175 114 660 260 120  63  83 136 140 106 107
L775 FEMALE DOMESTIC   . 127 110 125 120 186 120 700   . 124  75  85   . 144 111 112
L786 FEMALE DOMESTIC   . 120 108 117 108 165 110 680   . 113  66  81 130 137 104 103
L792 FEMALE DOMESTIC 122 123 110 120 112 180 114   .   . 117  72  86 136 135 100 107
NEG1 FEMALE DOMESTIC   .   .   .   .   .   .   .   .   . 183  61   .   .   .   . .
NEG2 FEMALE DOMESTIC   .   .   .   .   .   .   .   .   . 193  60   .   .   .   . .
NEG3 FEMALE DOMESTIC   .   .   .   .   .   .   .   .   . 186  62   .   .   .   . .
DOR1 MALE   DOMESTIC   .   .   .   .   . 212 132   .   .   .   .   .   . 173 130 .
DOR2 MALE   DOMESTIC   .   .   .   .   . 223 140   .   .   .   .   .   . 171 138 .
DOR3 MALE   DOMESTIC   .   .   .   .   . 227 141   .   .   .   .   .   . 182 126 .
DOR4 MALE   DOMESTIC   .   .   .   .   . 225 145   .   .   .   .   .   . 193 142 .
DOR5 MALE   DOMESTIC   .   .   .   .   . 207 139   .   .   .   .   .   . 174 131 .
DOR6 MALE   DOMESTIC   .   .   .   .   . 214 145   .   .   .   .   .   . 181 140 .
DOR7 MALE   DOMESTIC   .   .   .   .   . 211 144   .   .   .   .   .   . 185 133 .
DOR8 MALE   DOMESTIC   .   .   .   .   . 214 147   .   .   .   .   .   . 175 125 .
DOR9 MALE   DOMESTIC   .   .   .   .   . 207 139   .   .   .   .   .   . 170 130 .
DO10 MALE   DOMESTIC   .   .   .   .   . 204 136   .   .   .   .   .   . 179 130 .
DO11 FEMALE DOMESTIC   .   .   .   .   . 181 113   .   .   .   .   .   . 146 111 .
DO12 FEMALE DOMESTIC   .   .   .   .   . 181 124   .   .   .   .   .   . 152 104 .
DO13 FEMALE DOMESTIC   .   .   .   .   . 186 121   .   .   .   .   .   . 150 109 .
DO14 FEMALE DOMESTIC   .   .   .   .   . 178 115   .   .   .   .   .   . 135 101 .
DO15 FEMALE DOMESTIC   .   .   .   .   . 179 110   .   .   .   .   .   . 138 102 .
DO16 FEMALE DOMESTIC   .   .   .   .   . 182 116   .   .   .   .   .   . 131 103 .
DO17 FEMALE DOMESTIC   .   .   .   .   . 180 115   .   .   .   .   .   . 148 114 .
DO18 FEMALE DOMESTIC   .   .   .   .   . 177 114   .   .   .   .   .   . 141 109 .
DO19 FEMALE DOMESTIC   .   .   .   .   . 178 116   .   .   .   .   .   . 149 111 .
DO20 FEMALE DOMESTIC   .   .   .   .   . 179 113   .   .   .   .   .   . 142 112 .
DO21 FEMALE DOMESTIC   .   .   .   .   . 180 110   .   .   .   .   .   . 141 106 .
DO22 FEMALE DOMESTIC   .   .   .   .   . 182 113   .   .   .   .   .   . 146 108 .
DO23 FEMALE DOMESTIC   .   .   .   .   . 178 111   .   .   .   .   .   . 140 102 .
DO24 FEMALE DOMESTIC   .   .   .   .   . 176 115   .   .   .   .   .   . 148 112 .
DO25 FEMALE DOMESTIC   .   .   .   .   . 174 115   .   .   .   .   .   . 133 103 .
DO26 FEMALE DOMESTIC   .   .   .   .   . 170 107   .   .   .   .   .   . 152 106 .
DO27 FEMALE DOMESTIC   .   .   .   .   . 173 108   .   .   .   .   .   . 152 108 .
DO28 FEMALE DOMESTIC   .   .   .   .   . 181 118   .   .   .   .   .   . 147 111 .
DO29 FEMALE DOMESTIC   .   .   .   .   . 183 115   .   .   .   .   .   . 129 102 .
DO30 FEMALE DOMESTIC   .   .   .   .   . 177 113   .   .   .   .   .   . 135 101 .
DO31 FEMALE DOMESTIC   .   .   .   .   . 182 117   .   .   .   .   .   . 148 109 .
DO32 FEMALE DOMESTIC   .   .   .   .   . 180 112   .   .   .   .   .   . 146 112 .
